compound_id,source,class,assay,mw,alogp,tpsa,hbd,hba,fsp3,dose_uM,ic50_uM,active
C00001,fungi,flavonoid,anticancer,334.2,1.11,109.48206992090086,5,7,0.4021001521889162,18.43,200.0,False
C00002,bacteria,terpene,antibacterial,215.4,5.31,14.727943700350972,1,2,0.1681830111954017,0.26,200.0,False
C00003,marine,saponin,antimalarial,1079.6,2.08,177.33320288223308,0,7,0.4778657717835397,2.19,200.0,False
C00004,plant,polyketide,antimalarial,347.7,1.55,122.76950417631933,1,6,0.5379137029656366,1.52,200.0,False
C00005,plant,terpene,antibacterial,324.4,5.53,19.07102541709125,1,7,0.34674668253916147,16.03,200.0,False
C00006,bacteria,terpene,anticancer,172.5,3.86,26.666130528719158,3,3,0.25129340401394074,7.82,141.852,False
C00007,plant,polyketide,antibacterial,468.2,4.09,109.15668531938412,3,7,0.622526124911696,5.03,200.0,False
C00008,marine,polyketide,antibacterial,384.8,2.34,117.58450088765686,0,6,0.23744852239588599,26.33,200.0,False
C00009,marine,flavonoid,antimalarial,392.2,1.01,104.26228232444564,3,3,0.5369565131946736,0.2,200.0,False
C00010,plant,alkaloid,antimalarial,450.9,0.3,55.71379677003792,6,7,,0.21,200.0,False
C00011,plant,alkaloid,anticancer,354.6,3.5,56.60070715256111,1,3,0.11093288359363995,2.04,101.839,False
C00012,plant,peptide,antibacterial,515.0,2.18,197.88282453736807,2,3,0.771436706976312,5.87,200.0,False
C00013,plant,polyketide,antibacterial,547.9,3.19,114.59816935256978,4,6,0.5704720243304741,6.3,200.0,False
C00014,plant,peptide,anticancer,479.0,1.02,218.91268412984016,4,4,0.556689734180799,21.01,200.0,False
C00015,fungi,alkaloid,antibacterial,331.8,3.71,36.94818154217831,1,6,0.16461995484103714,0.3,79.317,False
C00016,fungi,saponin,anticancer,626.6,2.14,101.39397214599282,1,5,0.42214102242833623,0.19,200.0,False
C00017,bacteria,flavonoid,antibacterial,431.3,2.12,130.19457120387193,1,6,0.503647844828402,0.88,200.0,False
C00018,marine,saponin,antibacterial,761.3,1.43,142.94993296738883,4,7,0.29807246357620154,7.45,200.0,False
C00019,fungi,terpene,anticancer,320.3,4.1,29.448743533974465,4,5,0.7776922267127788,0.65,102.79,False
C00020,bacteria,terpene,antibacterial,246.5,4.25,21.62150296013954,0,7,0.04248252497390004,9.09,113.936,False
C00021,plant,peptide,antibacterial,587.9,1.23,155.00666003289516,0,7,0.5878311724696913,2.97,200.0,False
C00022,plant,polyketide,antibacterial,527.2,1.48,48.90217955508997,1,3,0.06810141845307877,0.6,200.0,False
C00023,fungi,polyketide,anticancer,344.5,3.13,74.37941579470797,0,7,0.1325776261039056,3.23,200.0,False
C00024,plant,alkaloid,antibacterial,336.9,3.93,55.04469888894457,3,6,0.18945660037589723,1.79,68.734,False
C00025,plant,polyketide,antimalarial,578.5,2.15,135.2592938692646,3,5,0.5600106891462564,19.16,186.408,False
C00026,fungi,flavonoid,anticancer,393.6,1.73,107.82230962262983,5,7,0.3023010514031532,14.71,200.0,False
C00027,plant,alkaloid,antimalarial,339.0,0.28,21.147284009853678,4,8,0.31044249720018646,0.42,50.642,False
C00028,bacteria,alkaloid,anticancer,435.6,1.83,54.85811207726055,3,6,0.26286252690900663,0.39,97.747,False
C00029,fungi,terpene,anticancer,234.5,4.71,21.15108463347142,4,2,0.14799846989881887,19.21,72.295,False
C00030,fungi,flavonoid,antibacterial,268.1,1.5,112.26367135977195,1,6,,19.56,200.0,False
C00031,plant,polyketide,anticancer,332.3,5.93,135.11545753756056,0,5,0.24603844977334183,21.4,200.0,False
C00032,plant,alkaloid,antimalarial,380.7,2.4,47.29675993874435,3,4,,1.01,43.367,False
